h corr scc chr cell_type1 cell_type2
14 2 0.986289121951115 0.938916733466391 9 rep1 rep2
12 2 0.412295815431569 0.967809341288626 11 rep1 rep2
16 2 0.995355146649038 0.971346348126175 X rep1 rep2
23 2 0.995466535307614 0.972626337059102 1 rep1 rep2
1 2 0.996919699411574 0.973093502497222 21 rep1 rep2
19 2 0.994628634479598 0.976934701098434 5 rep1 rep2
7 2 0.995395594500072 0.978433433863475 16 rep1 rep2
17 2 0.995765792379102 0.981649553471698 7 rep1 rep2
20 2 0.996635148178361 0.982090923464432 4 rep1 rep2
15 2 0.997636154145218 0.983001565686858 8 rep1 rep2
22 2 0.996729580419657 0.984673295852486 2 rep1 rep2
8 2 0.995293387785536 0.984735667781723 15 rep1 rep2
10 2 0.996956659023061 0.984964540122073 13 rep1 rep2
13 2 0.995894921635267 0.985487084929142 10 rep1 rep2
21 2 0.997068252772548 0.98641577322539 3 rep1 rep2
9 2 0.99837602993137 0.986913289679876 14 rep1 rep2
2 2 0.996358996710148 0.986980282542246 22 rep1 rep2
18 2 0.998500585627675 0.987530383312051 6 rep1 rep2
4 2 0.997008183204649 0.987650828336371 20 rep1 rep2
5 2 0.997203191244569 0.987993794480196 18 rep1 rep2
11 2 0.996913658917694 0.988117489821132 12 rep1 rep2
6 2 0.996399732863132 0.990600817103854 17 rep1 rep2
3 2 0.998408521091092 0.990974417543171 19 rep1 rep2
